date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:08:41	25769/25769	---M-Z	200	added ('OK')	text/html	etag:W/%226527d054-64a9%22	https://themewagon.github.io/VillaAgency/index.html	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/index.html	(from )
05:08:42	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226552848a-239b%22	https://themewagon.github.io/robots.txt		(from )
05:08:42	220785/220785	---M-Z	200	added ('OK')	text/css	etag:W/%226527d054-35e71%22	https://themewagon.github.io/VillaAgency/vendor/bootstrap/css/bootstrap.min.css	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/vendor/bootstrap/css/bootstrap.min.css	(from https://themewagon.github.io/VillaAgency/index.html)
05:08:43	123176/123176	---M-Z	200	added ('OK')	text/css	etag:W/%226527d054-1e128%22	https://themewagon.github.io/VillaAgency/assets/css/fontawesome.css	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/css/fontawesome.css	(from https://themewagon.github.io/VillaAgency/index.html)
05:08:43	35852/35852	---M-Z	200	added ('OK')	text/css	etag:W/%226527d054-8c0c%22	https://themewagon.github.io/VillaAgency/assets/css/templatemo-villa-agency.css	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/css/templatemo-villa-agency.css	(from https://themewagon.github.io/VillaAgency/index.html)
05:08:43	4928/4928	---M-Z	200	added ('OK')	text/css	etag:W/%226527d054-1340%22	https://themewagon.github.io/VillaAgency/assets/css/owl.css	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/css/owl.css	(from https://themewagon.github.io/VillaAgency/index.html)
05:08:44	57997/57997	---M-Z	200	added ('OK')	text/css	etag:W/%226527d054-e28d%22	https://themewagon.github.io/VillaAgency/assets/css/animate.css	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/css/animate.css	(from https://themewagon.github.io/VillaAgency/index.html)
05:08:45	57/57	---MCZ	302	error ('Found')	text/plain	date:Fri,%2017%20Nov%202023%2002:08:44%20GMT	https://unpkg.com/swiper@7/swiper-bundle.min.css	C:/Users/User/Desktop/Template/hotel/unpkg.com/swiper@7/swiper-bundle.min.6.delayed	(from https://themewagon.github.io/VillaAgency/index.html)
05:08:45	15563/15563	---MCZ	200	added ('OK')	text/css	etag:%223ccb-5Koe10fACH1gYqRziowpfORPwas%22	https://unpkg.com/swiper@7.4.1/swiper-bundle.min.css	C:/Users/User/Desktop/Template/hotel/unpkg.com/swiper@7.4.1/swiper-bundle.min.css	(from https://themewagon.github.io/VillaAgency/index.html)
05:08:46	12928/12928	---M-Z	200	added ('OK')	text/html	etag:W/%226527d054-3280%22	https://themewagon.github.io/VillaAgency/properties.html	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/properties.html	(from https://themewagon.github.io/VillaAgency/index.html)
